year,month,monthly anomaly,monthly unc.,annual anomaly,annual unc.,five-year anomaly,five-year unc.,ten-year anomaly,ten-year unc.,twenty-year anomaly,twenty-year unc.
1854.10,0.045,0.278,-0.248,0.121,-0.403,0.075,NaN,NaN,NaN,NaN
1854.11,-0.328,0.260,-0.240,0.121,-0.413,0.074,NaN,NaN,NaN,NaN
1854.12,-0.195,0.455,-0.223,0.118,-0.420,0.074,-0.440,0.073,NaN,NaN
1855.1,-0.034,0.491,-0.237,0.117,-0.427,0.074,-0.438,0.073,NaN,NaN
1855.2,-0.161,0.344,-0.242,0.119,-0.429,0.074,-0.439,0.073,NaN,NaN
1855.3,-0.311,0.299,-0.262,0.117,-0.431,0.074,-0.443,0.072,NaN,NaN
1855.4,-0.112,0.303,-0.297,0.118,-0.436,0.073,-0.441,0.072,NaN,NaN
1855.5,-0.255,0.267,-0.300,0.121,-0.436,0.073,-0.438,0.073,NaN,NaN
1855.6,-0.305,0.220,-0.338,0.124,-0.442,0.073,-0.437,0.073,NaN,NaN
1855.7,-0.411,0.171,-0.348,0.130,-0.441,0.073,-0.437,0.073,NaN,NaN
1855.8,-0.304,0.190,-0.378,0.133,-0.442,0.072,-0.437,0.073,NaN,NaN
1855.9,-0.532,0.189,-0.394,0.127,-0.439,0.071,-0.435,0.073,NaN,NaN
1855.10,-0.377,0.235,-0.413,0.119,-0.438,0.072,-0.432,0.073,NaN,NaN
1855.11,-0.374,0.242,-0.420,0.117,-0.442,0.072,-0.432,0.074,NaN,NaN
1855.12,-0.640,0.344,-0.410,0.115,-0.444,0.072,-0.435,0.074,NaN,NaN
1856.1,-0.154,0.347,-0.405,0.112,-0.451,0.072,-0.443,0.074,NaN,NaN
1856.2,-0.525,0.393,-0.430,0.114,-0.457,0.073,-0.445,0.074,NaN,NaN
1856.3,-0.498,0.315,-0.451,0.117,-0.458,0.073,-0.446,0.074,NaN,NaN
1856.4,-0.350,0.212,-0.478,0.118,-0.455,0.074,-0.444,0.074,NaN,NaN
1856.5,-0.332,0.199,-0.499,0.118,-0.448,0.077,-0.445,0.074,NaN,NaN
1856.6,-0.190,0.252,-0.482,0.116,-0.451,0.076,-0.446,0.075,NaN,NaN
1856.7,-0.348,0.203,-0.517,0.117,-0.449,0.076,-0.447,0.075,NaN,NaN
1856.8,-0.601,0.237,-0.520,0.114,-0.447,0.076,-0.446,0.075,NaN,NaN
1856.9,-0.786,0.221,-0.523,0.114,-0.447,0.077,-0.447,0.076,NaN,NaN
1856.10,-0.703,0.189,-0.569,0.116,-0.442,0.078,-0.450,0.075,NaN,NaN
1856.11,-0.628,0.245,-0.612,0.116,-0.439,0.080,-0.449,0.076,NaN,NaN
1856.12,-0.438,0.343,-0.648,0.118,-0.436,0.082,-0.451,0.076,NaN,NaN
1857.1,-0.568,0.355,-0.663,0.119,-0.439,0.082,-0.456,0.076,NaN,NaN
1857.2,-0.563,0.290,-0.657,0.118,-0.444,0.082,-0.458,0.076,NaN,NaN
1857.3,-0.534,0.283,-0.634,0.121,-0.450,0.082,-0.455,0.076,NaN,NaN
1857.4,-0.901,0.213,-0.622,0.120,-0.458,0.083,-0.455,0.077,NaN,NaN
1857.5,-0.848,0.186,-0.617,0.119,-0.458,0.086,-0.456,0.077,NaN,NaN
1857.6,-0.627,0.188,-0.611,0.120,-0.460,0.090,-0.458,0.078,NaN,NaN
1857.7,-0.529,0.188,-0.589,0.116,-0.467,0.091,-0.460,0.078,NaN,NaN
1857.8,-0.527,0.190,-0.591,0.114,-0.472,0.091,-0.462,0.079,NaN,NaN
1857.9,-0.505,0.220,-0.577,0.114,-0.480,0.091,-0.464,0.079,NaN,NaN
1857.10,-0.558,0.204,-0.530,0.117,-0.486,0.090,-0.467,0.080,NaN,NaN
1857.11,-0.576,0.250,-0.504,0.119,-0.487,0.091,-0.468,0.080,NaN,NaN
1857.12,-0.358,0.275,-0.487,0.121,-0.487,0.091,-0.477,0.080,NaN,NaN
1858.1,-0.305,0.334,-0.484,0.124,-0.485,0.090,-0.475,0.080,NaN,NaN
1858.2,-0.593,0.283,-0.480,0.127,-0.483,0.090,-0.473,0.081,NaN,NaN
1858.3,-0.362,0.271,-0.485,0.128,-0.479,0.090,-0.472,0.081,NaN,NaN
1858.4,-0.344,0.244,-0.469,0.136,-0.478,0.089,-0.471,0.083,NaN,NaN
1858.5,-0.534,0.234,-0.446,0.145,-0.483,0.089,-0.470,0.084,NaN,NaN
1858.6,-0.425,0.206,-0.464,0.140,-0.489,0.087,-0.471,0.084,NaN,NaN
1858.7,-0.485,0.215,-0.476,0.143,-0.506,0.087,-0.475,0.085,NaN,NaN
1858.8,-0.476,0.245,-0.470,0.150,-0.511,0.086,-0.478,0.085,NaN,NaN
1858.9,-0.568,0.256,-0.469,0.158,-0.514,0.087,-0.479,0.085,NaN,NaN
1858.10,-0.371,0.242,-0.452,0.165,-0.516,0.088,-0.479,0.086,NaN,NaN
1858.11,-0.294,0.284,-0.420,0.166,-0.519,0.089,-0.477,0.087,NaN,NaN
1858.12,-0.576,0.251,-0.408,0.174,-0.523,0.092,-0.477,0.087,NaN,NaN
1859.1,-0.453,0.298,-0.405,0.178,-0.523,0.093,-0.478,0.088,NaN,NaN
1859.2,-0.513,0.309,-0.409,0.173,-0.517,0.094,-0.477,0.087,NaN,NaN
1859.3,-0.348,0.271,-0.421,0.166,-0.511,0.095,-0.478,0.087,NaN,NaN
1859.4,-0.140,0.287,-0.423,0.168,-0.508,0.096,-0.478,0.088,NaN,NaN
1859.5,-0.157,0.256,-0.428,0.168,-0.503,0.098,-0.477,0.089,NaN,NaN
1859.6,-0.284,0.287,-0.407,0.166,-0.504,0.100,-0.475,0.090,NaN,NaN
1859.7,-0.450,0.250,-0.406,0.157,-0.510,0.100,-0.475,0.091,NaN,NaN
1859.8,-0.522,0.185,-0.399,0.149,-0.513,0.099,-0.477,0.091,NaN,NaN
1859.9,-0.714,0.178,-0.439,0.150,-0.513,0.101,-0.479,0.091,NaN,NaN
1859.10,-0.392,0.253,-0.464,0.146,-0.508,0.103,-0.483,0.092,NaN,NaN
1859.11,-0.357,0.239,-0.480,0.148,-0.499,0.104,-0.484,0.092,NaN,NaN
1859.12,-0.317,0.330,-0.483,0.143,-0.495,0.106,-0.486,0.094,-0.422,0.079
1860.1,-0.446,0.331,-0.468,0.137,-0.494,0.107,-0.486,0.096,-0.420,0.078
